,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Current Description
145,Presidente Epitácio,BR,-21.7633,-52.1156,83.41,25,42,5.23,scattered clouds
146,Pemangkat,ID,1.1667,108.9667,85.03,64,85,6.78,overcast clouds
147,Port Blair,IN,11.6667,92.75,83.91,73,100,5.7,overcast clouds
148,Wagar,SD,16.1525,36.2032,85.32,57,40,6.78,scattered clouds
149,Avarua,CK,-21.2078,-159.775,78.85,73,40,11.5,scattered clouds
150,Baykit,RU,61.67,96.37,46.31,90,98,2.19,overcast clouds
151,Iqaluit,CA,63.7506,-68.5145,29.86,76,17,8.41,few clouds
152,Severo-Kuril'sk,RU,50.6789,156.125,51.85,74,36,15.99,scattered clouds
153,Ponta do Sol,CV,17.1994,-25.0919,80.38,83,89,7.87,overcast clouds
154,Batagay-Alyta,RU,67.8006,130.4114,29.98,71,96,1.74,overcast clouds
155,Mossamedes,AO,-15.1961,12.1522,59.92,87,35,7.49,scattered clouds
156,Longyearbyen,SJ,78.2186,15.6401,38.86,95,100,6.71,overcast clouds
157,Klyuchi,RU,52.2667,79.1667,44.15,51,36,19.19,scattered clouds
158,Mackay,AU,-21.15,149.2,80.04,61,13,9.89,few clouds
159,Kruisfontein,ZA,-34.0033,24.7314,51.28,90,4,7.05,clear sky
160,Hirara,JP,24.8,125.2833,85.86,79,40,5.75,tornado
161,Nabire,ID,-3.3667,135.4833,82.67,70,100,2.01,overcast clouds
162,São Filipe,CV,14.8961,-24.4956,79.47,84,100,9.15,overcast clouds
163,Constitucion,MX,23.9912,-104.6749,64.06,60,40,3.18,scattered clouds
164,Gwadar,PK,25.1216,62.3254,80.6,84,16,7.0,few clouds
165,Santa Maria,CV,16.6,-22.9,77.59,94,90,4.61,overcast clouds
166,Chapais,CA,49.7834,-74.8492,49.82,71,90,8.01,overcast clouds
167,Labytnangi,RU,66.6572,66.4183,36.79,68,100,10.63,overcast clouds
168,Mochudi,BW,-24.4167,26.15,59.9,50,2,6.35,clear sky
169,Balikpapan,ID,-1.2675,116.8289,83.73,67,48,7.25,scattered clouds
170,Pevek,RU,69.7008,170.3133,30.74,69,71,2.75,broken clouds
171,Linden,GY,6.0,-58.3,74.03,95,99,2.28,overcast clouds
172,Los Andes,CL,-32.8337,-70.5983,48.38,88,30,1.14,scattered clouds
173,Diffa,NE,13.3154,12.6113,81.82,45,13,8.1,few clouds
